name	id	beer_style	first_brewed	alcohol_content	original_gravity	final_gravity	ibu_scale	country	brewery_brand	color_srm	from_region	containers
Spinnakers' Honey Pale Ale	/m/04dqj5x			4.7					Spinnakers Brewery		Canada	/m/04dr1jw
Cairngorm Stag	/m/04dqsvg			4.1					Cairngorm		United Kingdom	/m/04dr4wt
Aldaris Zelta Gold	/m/04dqhyt			5.2					Aldaris		Latvia	/m/04dr6vl
Wychwood Old Devil	/m/04dqts6			4.7					Wychwood Brewery		United Kingdom	/m/04dr1mr
Estrella Galicia	/m/04dqhx8			5.0					Estrella Galicia		Spain	
Thwaites Double Century	/m/04dqttr			5.2					Thwaites Brewery		United Kingdom	/m/04dqz6r
Museum Brewing Wulfric	/m/04dqc45			5.5					Museum Brewing		United Kingdom	/m/04dr75b
Carlsberg-Tetley Sainsbury's Parkin's Special Bitter	/m/04dqwlv			4.0					Carlsberg		United Kingdom	/m/04dr3m4
Burton Bridge Santa's Porter	/m/04dqhk_			4.5					Burton Bridge Brewery		United Kingdom	/m/04dr562
Southwark Bitter	/m/09_hwnl	Bitter		4.5			25.0		Southwark		South Australia	/m/09_hxwp
Oettinger Radler	/m/09vjvt3								Oettinger			
Hydes Jekyll's Gold 	/m/0dlfhs2	Special/Best/Premium Bitter							Hydes			
Wem Brewing Company Cherry Bomb	/m/0dlfhnr								Wem Brewing Company			
Brown Bear Ale	/m/063hm8b	Brown ale							Thirsty Bear Brewing Company			
Gilde Ratskeller	/m/05vjpkw								Gilde Brauerei Hannover		Hanover	
Lagunitas The Hairy Eyeball	/m/05k6g27								Lagunitas Brewing Company			
Chevalier ﾓBiere De Gardeﾔ	/m/0gfs8kx								Bridge Road Brewers			
Abbey Ales Salvation	/m/0djv0x9	Bitter							Abbey Ales Brewery			
Great Gable  Yewbarrow 	/m/0dkfsf7								Great Gable Brewery			
Grand Imperial Porter	/m/0fpf0fm								Browar Amber			
Full Sail Amber Ale	/m/02hv36r	American Amber Ale		5.5			30.0		Full Sail Brewing Company	24		
Guinness Stout	/m/02hv384	Dry Stout							St. James's Gate Brewery			
Brakspear Light Ale	/m/04d2v6g											
Ayinger Brau-Weisse	/m/04dq9gc			5.1					Ayinger		Germany	/m/04dq_z3
Rogue Hazelnut Brown Nectar	/m/04dqf35			6.2					Rogue Brewing		United States of America	/m/04dr65v
Meantime Sainsbury's Taste the Difference Viennese Style Amber Lager	/m/04dqppm			5.0					Meantime Brewing		United Kingdom	/m/04dr0cm
Stiegl Pils	/m/04dqsd7			5.0					Stiegl		Austria	/m/04dr4_k
Harviestoun Liberation Champion Ale	/m/04dqfxb			4.7					Harviestoun Brewery		United Kingdom	/m/04dqyrm
Delta Breweries Lion Lager	/m/04dqnh_			5.7					Delta Breweries		South Africa	/m/04dr357
Aldara Tumsais	/m/04dqpl3			5.0					Aldaris		Latvia	/m/04dr1y_
Innis & Gunn Limited Edition 2006	/m/04dqdxm			7.2					Innis and Gunn		United Kingdom	/m/04dr746
Old Kent Opener	/m/04dqk2f			4.2					Old Kent		United Kingdom	/m/04dr1dm
Hook Norton Steam Beer	/m/04dqltb			4.4					/m/04drbw8		United Kingdom	/m/04dr0b_
Liefmans Frambozenbier	/m/04dqt2b			4.5					Liefmans		Belgium	/m/04dr56b
Daleside Brewery Monkey Wrench Strong Ale	/m/04dqmk5			5.3					Daleside Brewery		United Kingdom	/m/04dqxjc
Les 3 Brasseurs Blanche	/m/04dqdt3			4.7					Les 3 Brasseurs		France	/m/04dr6vb
Henry Weinhard's Blackberry Wheat Ale	/m/04dqjby			5.3					Henry Weinhard's		United States of America	/m/04dqxw_
Hampshire brewery Kings Ransom	/m/04dqrdj			4.8					Hampshire brewery		United Kingdom	/m/04dqxsw
Scheldebrouwerij Lamme Goedzak	/m/04dqv1v			6.5					Scheldebrouwerij		Netherlands	/m/04dqypc
Strubbe Dikke Mathile	/m/04dql_p			6.0					Strubbe		Belgium	/m/04dr1f3
Les Artisans Brasseurs Aldegonde Brune	/m/04dqv66			7.5					Les Artisans Brasseurs		Belgium	/m/04dr1cr
Bragdy Ceredigion Merddin (Merlin)	/m/04dqj9v			5.0					Bragdy Ceredigion		United Kingdom	/m/04dr09m
Bateman's 'Yella' Belly Organic	/m/04dqk8b			4.2					Batemans Brewery		United Kingdom	/m/04dr656
Sinebrychoff Karhu III	/m/04dqhwv			4.6					Sinebrychoff		Finland	/m/04dr3mx
Coors Keystone Premium	/m/04dqnpx			4.8					Coors Brewing Company		United States of America	/m/04dr3w8
Otter Bright	/m/04dqgpq			4.3					Otter		United Kingdom	/m/04dr2r_
Blencoe Brewing Co. Boys With Attitude	/m/04dqg5z			6.0					Blencoe Brewing Co.		United Kingdom	/m/04dqym_
Charles Wells Bombardier English Premium Ale	/m/04dqmlq			5.5					Charles Wells		United Kingdom	/m/04dqzyr
Coopers Brewery Thomas Cooper's Finest Export	/m/04dqcbr			4.9					Coopers Brewery		Australia	/m/04dq_ym
Mt. Begbie Brewing Company Tall Timber Ale	/m/04dqkz6			5.0					Mt. Begbie Brewing Company		United Kingdom	/m/04dr4c4
Shepherd Neame Early Bird	/m/04dqrgh			4.5					Shepherd Neame		United Kingdom	/m/04dr073
Cerná Hora Tas	/m/04dqqnx			4.0					Cerná Hora		Czech Republic	/m/04dr1bc
Hawkshead Red	/m/04dqv7r			4.6					Hawkshead		United Kingdom	
Stichting Noordhollandse Alternatieve Bierbrouwers SNAB Pale Ale	/m/04dqf4q			6.3					Stichting Noordhollandse Alternatieve Bierbrouwers		Netherlands	/m/04dr484
Reissdorf Kölsch	/m/04dqwr6			4.8					Reissdorf		Germany	/m/04dr03r
Carlton Draught	/m/04dqwsr			4.7					Carlton & United Beverages		Australia	/m/04dr4hj
San Miguel (Philippines) Red Horse Extra Strong	/m/04dqc83			7.0					San Miguel (Philippines)		Philippines	/m/04dr46d
União Cervejeira (Unicer) Super Bock	/m/04dqgrp			5.8					União Cervejeira (Unicer)		Portugal	/m/04dq_n_
Harvey's Porter	/m/04dqbff			4.8					Harveys Brewery		United Kingdom	/m/04dr2sh
Rochefortoise Blonde	/m/04dqjjt			6.2					Rochefortoise		Belgium	/m/04dr3dx
Aass Bock	/m/04dqf6p			6.4					Aass Brewery		Norway	/m/04dr06h
Barada	/m/04dqmnp			5.0					Barada Beer Company		Syria	/m/04dr13h
Hampshire Brewery Tinsel Tickler	/m/04dqmqn			4.5					Hampshire Brewery		United Kingdom	/m/04dr4q4
Hoggleys Reservoir Hogs	/m/04dqnrw			4.3					Hoggleys		United Kingdom	/m/04dr4wy
Arran Brewery Sunset	/m/04dqp1y			4.4					Arran Brewery		United Kingdom	/m/04dr333
Het Anker Cuvee van de Keizer	/m/04dqp69			8.5					Het Anker		Belgium	/m/04dr047
Hannen Alt	/m/04dqjgv			4.8					Hannen		Germany	/m/04dr6x2
St Peter's Summer Ale	/m/04dqg7y			6.5					St Peter's		United Kingdom	/m/04dr49j
Brouwerij 't IJ Zatte	/m/04dql5n			8.0					Brouwerij 't IJ		Netherlands	/m/04dr68l
St Peter's Strong Ale	/m/04dqgq4			5.1					St Peter's		United Kingdom	/m/04dr07h
James Boag's Premium Lager	/m/04dqpn2			5.0					James Boag's		Australia	/m/04dqxyh
Rochefort 6	/m/04dqcdq			7.5					Rochefort Brewery		United Kingdom	/m/04dr2ym
Schwaben Brau Pilsner	/m/04dqprl			4.9					Schwaben Brau		Germany	/m/04dr2cc
Oechsner Schwarzbier	/m/04dqq_d			5.0					Oechsner		Germany	/m/04dqyd_
Chimay White	/m/04dqjdx			8.0					Bières de Chimay		Belgium	/m/04dr4x5
Freedom Pilsener	/m/04dqqr9			5.0					Freedom		United Kingdom	/m/04dqzn7
Treneary Marthas Mild (Teignworthy)	/m/04dqtv5			5.0					Treneary		United Kingdom	/m/04dr01r
Hofbrauhaus München SchwarzeWeisse	/m/04dqtwq			5.1					Hofbrauhaus München		Germany	/m/04dr41x
Silenrieux Noël de Silenrieux	/m/04dqv85			6.0					Silenrieux		Belgium	/m/04dr1tw
J.W. Lees John Willie's Manchester Champion Beer	/m/04dqv9q			5.0					JW Lees		United Kingdom	/m/04dr62z
Humpty Dumpty Broadland Gold	/m/04dqvbt			6.0					Humpty Dumpty		United Kingdom	/m/04dr4mj
Redhook ESB	/m/04dqvwf			5.7					Redhook		United States of America	/m/04dqy2c
Morrells Light Oxford Ale	/m/04dqf54			3.2					Morrells		United Kingdom	/m/04dqzk_
Vandenstock Belle-Vue Gueuze	/m/04dqwt5			5.2					Vandenstock		Belgium	/m/04dr75q
Cairngorm Black Gold	/m/04dqcc5			4.4					Cairngorm		United Kingdom	/m/04dq_yc
Pivovara Licanka Velebitsko	/m/04dqdzl			5.4					Pivovara Licanka		Croatia	/m/04dr2qc
Cotleigh Brewery Red Nose Reinbeer	/m/04dqmm4			5.0					Cotleigh Brewery		United Kingdom	/m/04dr2s_
Grolsch Herfstbok	/m/04dqkcd			6.5					Grolsch Brewery		Netherlands	/m/04dr5ml
Lost Coast Brewery Winterbraun	/m/05k6h_s	Seasonal beer,Brown ale,Winter Warmer		6.5					Lost Coast Brewery			/m/05k6jfl
Lagunitas Pils	/m/05k6h82	Pilsener							Lagunitas Brewing Company			/m/05k6h8y
Pumpkinfest	/m/0djy33_								Terrapin Beer Company			
Wem Brewing Company Taverners Ale	/m/0dlfhnk								Wem Brewing Company			
Colorado Caium	/m/0djxh7m	Pilsener										
Nethergate  Umbel Magna 	/m/0dkfscl								Nethergate brewery			
Abbey Ales Black Friar	/m/0djv0xl	Bitter							Abbey Ales Brewery			
Dark Star Critical Mass	/m/0dl8hhr			7.8					Dark Star			
Mocny Red	/m/0fpf0f5								Browar Amber			
Bath Ales Dark Hare	/m/0bhj2mf	Stout		4.0					Bath Ales			
Carling	/m/03sf2w								Carling			
Bellwether Cherry Street	/m/0g4nfny	Fruit Cider										
Iceni Men of Norfolk Strong Dark Ale	/m/04dqrnd			6.2					Iceni		United Kingdom	/m/04dq_xr
Olvi Tumma Olut	/m/04dqqt8			4.3					Olvi		Finland	/m/04dr1fr
Fischer Doreleï	/m/04dqn4d			6.3					Fischer		France	/m/04dqy9m
Hacker-Pschorr Hefe Weisse	/m/04dqp88			5.5					Hacker-Pschorr Brewery		Germany	/m/04dr490
Bosteels Tripel Karmeliet	/m/04dql7m			8.0					Brewery Bosteels		Belgium	/m/04dr1s_
Tin Whistle Brewery Killer Bee Dark Honey Ale	/m/04dqvc7			6.0					Tin Whistle Brewery		Canada	/m/04dr6yz
Valhalla White Wife	/m/04dqp3x			4.5					Valhalla Brewery		United Kingdom	/m/04dr0dw
Guinness Foreign Extra Stout (Nigeria)	/m/04dqnwt			8.0					Guinness		Nigeria	/m/04dqygc
Islay Ales Saligo Ale	/m/04dqm2z			4.4					Islay Ales		United Kingdom	/m/04dqy7m
Granville Island Honey Lager	/m/04dqbkc	Honey Lager,Lager		4.5					Granville Island Brewing		Vancouver,Canada	/m/04dqxz_
Tonnerre de Brest Bière Ambrée aux Algues	/m/04dqf73			6.5					Tonnerre de Brest		France	/m/04dr1zw
Brewerkz Pilsner Lager	/m/04dqg9x			4.8					Brewerkz		Singapore	
Nymburk Gold Bohemia	/m/04dqgs3			5.1					Nymburk		Czech Republic	/m/04dr6b2
Coors Fine Light	/m/04dqmsm			5.0					Coors Brewing Company		United Kingdom	/m/04dqy3_
Schneider & Sohn Weissen Edel-Weisse	/m/04dqvds			6.2					G. Schneider & Sohn		Germany	/m/04dqzrc
Burton Bridge Tickle Brain Ale	/m/04dqgwm			8.0					Burton Bridge Brewery		United Kingdom	/m/04dr1mm
Greene King St Edmund	/m/04dqjk7			5.5					Greene King Brewery		United Kingdom	/m/04dr1jr
Sierra Nevada Wheat	/m/04dqjls			4.4					Sierra Nevada Brewing Company		United States of America	/m/04dr0gw
Young's Waggledance	/m/04dqnv8			5.0					Young's Brewery		United Kingdom	/m/04dr5wl
Utenos Porteris	/m/04dqntv			6.8					Utenos		Lithuania	/m/04dq_kw
Het Anker (Riva) Mechelse Bruynen	/m/04dql05			6.0					Het Anker		Belgium	/m/04dr14_
Cotswold Brewing Co. Wheat Beer	/m/04dql1q			4.2					Cotswold Brewing Co.		United Kingdom	/m/04dr6bb
Courage Light Ale	/m/04dqptk			3.2					Courage		United Kingdom	/m/04dq_9h
Scottish Courage Hofmeister	/m/04dqtyp			3.2					Scottish Courage		United Kingdom	/m/04dr50y
Efes Stariy Melnik Tymna (Old Miller Dark)	/m/04dqp9t			6.5					Efes		Russia	/m/04dr65g
Goffs Jouster	/m/04dqw1b			4.0					Goffs Brewery		United Kingdom	/m/04dr067
Westvleteren 6 (Green Cap)	/m/04dqtx4			5.8					Westvleteren Brewery		Belgium	/m/04dr09r
Da Ru Premium Beer	/m/04dqsfs			4.2					Da Ru Breweries UK		United Kingdom	/m/04dr5_b
Tomos Watkin's Cwrw Haf	/m/04dqqg_			4.2					Tomos Watkin's		United Kingdom	/m/04dr41j
St Bernardus Pater 6	/m/04dqj6b			6.7					St. Bernardus		Belgium	/m/04dr2zh
Paderborner Isenbeck Brauerei Isenbeck Premium Dark	/m/04dqprt			4.8					Paderborner Isenbeck Brauerei		Germany	/m/04dr6j2
Fuerstenberg Premium Pilsener	/m/04dqb91			4.8					Fuerstenberg		Germany	/m/04dq_3r
Fuller's Honey Dew	/m/04dqdzt			4.3					Fuller, Smith and Turner		United Kingdom	/m/04dr2zc
Alaskan Smoked Porter	/m/04dqk4m			6.0					Alaskan Brewing Company		United States of America	/m/04dr54v
Boddington's Bitter	/m/04dqvtp			3.8					Boddingtons		United Kingdom	/m/04dr2dc
Annoeullin L'Angelus Bière de Froment	/m/04dqk_2			7.0							France	/m/04dr45d
Sierra Nevada Stout	/m/04dqd7d			6.6					Sierra Nevada Brewing Company		United States of America	/m/04dqxf_
Van Eecke Kapittel Watou Blond	/m/04dqbb4			6.5					Van Eecke		Belgium	/m/04dr0xw
Silenrieux Joseph bière d'épeautre	/m/04dqvwn			5.4					Silenrieux		Belgium	/m/04dr3d4
Lech Premium	/m/04gdkh6			5.2					Kompania Piwowarska		Poland,Poznań	/m/04gdkjm,/m/04gdkjt
Jopen Haarlems Hoppenbier	/m/04dqv9y			6.8					Jopen		Netherlands	/m/04dr21h
Lodzkie (subsidiary of Kaltenberg) Glob Specjal	/m/04dqtwy			6.8					Lodzkie (subsidiary of Kaltenberg)		Poland	/m/04dq_j7
Vølen (Bierbrouwerij Volendam VOF 't Vølen) Pijtje	/m/04dqdl_			10.5					Vølen (Bierbrouwerij Volendam VOF 't Vølen)		Netherlands	/m/04dqzy_
Alcazar (Sherwood Forest Brewing Co) Gaoler's Ale	/m/04dqbfn			7.5					Alcazar (Sherwood Forest Brewing Co)		United Kingdom	/m/04dq_fh
Anon 5 Flags Strong Belgian Lager	/m/04dqbcp			5.0							Belgium	/m/04dqynw
Traquair House Ale	/m/04dqll3			7.2					Traquair		United Kingdom	/m/04dr09w
De 3 Hoefijzers 3 Horses Holland Lager Beer	/m/04dqf6x			5.0					De 3 Hoefijzers		Netherlands	/m/04dr0m7
Hammerpot White Wing Premium Sussex Ale	/m/04dqvs4			4.0					Hammerpot		United Kingdom	/m/04dr63q
Shepherd Neame Vintage Christmas Ale '97/'98	/m/04dqfp3			6.7					Shepherd Neame		United Kingdom	/m/04dr5tq
Wapping Brewery Whopping Wapping	/m/04dqsvp			7.8					Wapping Brewery		United Kingdom	
Cooper's Regency Light	/m/042zbm5								Coopers Brewery			
Erste Kulmbacher Actienbrauerei EKU 28	/m/04dqqhf			11.0					Erste Kulmbacher Actienbrauerei		Germany	/m/04dr15c
De Gouden Boom Brugs Witbier (Blanche de Bruges)	/m/04dqgrx			4.8					De Gouden Boom		Belgium	/m/04dr1nc,/m/04dqyl_
Prignon Fantôme La Gourmande	/m/04dq961			7.0					Prignon		Belgium	/m/04dq_gr
St Peter's Lemon and Ginger Spiced Ale	/m/04dqlpm			4.7					St Peter's		United Kingdom	/m/04dqyvc
Dark Star Espresso stout	/m/04dqpq8			4.8					Dark Star		United Kingdom	/m/04dr25h
Frank Boon Oude Geuze Boon	/m/04dqdy8			6.5					Boon Brewery		Belgium	/m/04dr2xr
Black Isle Organic Lager	/m/04dqqkd			5.3					Black Isle Brewery		United Kingdom	/m/04dr0mw
Ferme Beck Hommelpap Bière Artisanale Sans Conservateur	/m/04dqnjf			7.0					Ferme Beck		France	/m/04dr45n
Weatheroak Triple T	/m/04dqmnx			5.1					Weatheroak		United Kingdom	/m/04dr1_m
Cesu Sokolades Porteris	/m/04dqcdy			6.8					Cesu		Latvia	/m/04dr5zv
Brakspear Vintage Henley	/m/04dqcyk			5.5					Brakspear		United Kingdom	/m/04dr5s2
Castle Eden Ale	/m/04dqj0f	Bitter		4.0					Camerons Brewery		United Kingdom	/m/04dqxgw
Teme Valley That	/m/04dqd1h			4.1					Teme Valley		United Kingdom	/m/04dr0br
Van Steenberge Nounou/Augustijn	/m/04dqrks			4.8					Van Steenberge		Belgium	/m/04dqzn_
Okocim Zagloba	/m/04dq9kn			5.7					Okocim		Poland	/m/04dqxdr
Meantime Mash Beer	/m/04dqvbc			4.8					Meantime Brewing		United Kingdom	/m/04dr0sh
Bavaria Hollandia	/m/04d2v68											
Hahn Brewery Superdry (low carb)	/m/04dqqf0			4.6					Hahn Brewery		Australia	/m/04dq_x_
Springhead Roundhead's Gold	/m/04dqn07			4.4					Springhead		United Kingdom	/m/04dq_1m
Porterhouse Wrasslers XXXX Stout	/m/04dqbnn			5.0					The Porterhouse Brewing Company		Republic of Ireland	/m/04dq_h_
Williams Brothers Black	/m/04dqw4m			4.2					Williams Brothers		United Kingdom	/m/04dr4vf
St. Austell Clouded Yellow	/m/04dqqjj			5.0					St Austell Brewery		United Kingdom	/m/04dr0yc
Huyghe Delirium Nocturnum	/m/04dqnrf			9.0					Huyghe Brewery		Belgium	/m/04dqz3_
De Schans Dubbele Klap	/m/04dqgzx			7.5					De Schans		Netherlands	/m/04dqybr
Arcense Bierbrouwerij Hertog Jan Dubbel	/m/04dqg7h			7.0					Arcense Bierbrouwerij		Netherlands	/m/04dq_zm
Kronenbourg La Réserve de Maître Kanter	/m/04dqt9k			6.1					Kronenbourg		France	/m/04dr2k7
Wadworth & Co. Old Timer	/m/04dqc8_			5.5					Wadworth Brewery		United Kingdom	/m/04dqyb_
Frank Boon Winter	/m/04dqg1l			5.0					Boon Brewery		Belgium	/m/04dr00c
Unibroue Maudite	/m/04dqt23			8.0					Unibroue		Canada	/m/04dr2mh
Ringwood Old Thumper	/m/04dqpzt			5.6					Ringwood Brewery		United Kingdom	/m/04dr73l
Aass Classic	/m/04dqtbn			4.5					Aass Brewery		Norway	/m/04dqzd7
Herforder Pils	/m/04dqjdg			4.8					Herforder		Germany	/m/04dqz8r
Wild Goose Oatmeal Stout	/m/04dqk83			6.4					Wild Goose		United States of America	/m/04dr3rn
Fuller's Jack Frost	/m/04dqlxm			4.5					Fuller, Smith and Turner		United Kingdom	/m/04dqyj3
Teme Valley Wotever Next?	/m/04dqrj7			5.0					Teme Valley		United Kingdom	/m/04dr5wg
Batemans Summer Swallow	/m/04dqd6j			4.2					Batemans Brewery		United Kingdom	/m/04dr0v3
Sulwath The Black Galloway	/m/04dqfx3			4.4					Sulwath		United Kingdom	/m/04dqzwc
Prague Kisz Bier	/m/04dqdt_			5.2					Prague		Czech Republic	
Dutch Export Breweries Amsterdam Mariner	/m/04dqp1h			4.8					Dutch Export Breweries		Netherlands	/m/04dr4t9
Bavaria 8.6	/m/04dqp7d			8.6					Bavaria		Netherlands	/m/04dq_j3
Mendocino Brewery White Hawk Select India Pale Ale (original IPA)	/m/04dqjjc			7.0					Mendocino Brewing Company		Republic of Ireland	/m/04dqzj_
Belhaven Rebel Prince (for Asda)	/m/04dqpy8			5.0					Belhaven Brewery		United Kingdom	/m/04dqz2m
High Falls Brewing Co. JW Dundee's American Amber Lager	/m/04dqh19			4.9					High Falls Brewing Company		United Kingdom	/m/04dqxq_
Kamloops Brewery Black Bear Ale	/m/04dqkbr			5.0					Kamloops Brewery		Canada	/m/04dqyn_
Adnams Suffolk Strong Ale	/m/04dqhdr			4.5					Adnams Brewery		United Kingdom	/m/04dr0ph,/m/04dr37s
Harvey's Tom Paine Premium Ale	/m/04dqlt3			5.5					Harveys Brewery		United Kingdom	/m/04dr6tq
Beck & Co. Beck's Oktoberfest	/m/04dqn1s			5.0					Beck's		Germany	/m/04dr10m
Cardinal Best Lager	/m/04dq9hp			4.8					Cardinal Brewery		Switzerland	/m/04dr1_3
Brasserie Lefèbvre Newton Apple Beer	/m/04dq9g4			3.5					Brasserie Lefèbvre		Belgium	/m/04dr70b
Cottage Brewing Company Norman's Conquest Extra Strong Ale	/m/04dqqsd			7.0					Cottage Brewing Company		United Kingdom	/m/04dr1sr
Pete's Wicked Winter Brew	/m/04dqpl_			5.1					Pete's Brewing Company		United States of America	/m/04dr3dn
Huari	/m/059021j								Cerveceria Nacional			
Brewerkz IPA	/m/04dqn39			6.0					Brewerkz		Singapore	
Dubuisson Bush	/m/04dqvyv			12.0					Brasserie Dubuisson Frères		Belgium	/m/04dqyth
Harviestoun Bitter & Twisted	/m/04dql2c			4.2					Harviestoun Brewery		United Kingdom	/m/04dr2km
Itchen Valley Wykeham's Glory	/m/04dqkd8			4.3					Itchen Valley Brewery		United Kingdom	/m/04dr6cz
Iceni Deirdre of the Sorrows	/m/04dqbj8			4.4					Iceni		United Kingdom	/m/04dr1zc
Unertl Gourmet Weisse	/m/04dqw1s			5.5					Unertl		Germany	/m/04dr06c
Grimbergen Tripel	/m/04dqrm9			9.0					Grimbergen		Belgium	/m/04dr0nc
Young's Luxury Double Chocolate Stout	/m/04dqwrf			5.0					Young's Brewery		United Kingdom	/m/04dqzl_
Wye Valley Brewery Dorothy Goodbody's Wholesome Stout	/m/04dqnk2			4.6					Wye Valley Brewery		United Kingdom	/m/04dr75g
Praske Pivovar Vratislav Lager (Tesco)	/m/04dqw_6			5.0					Praske Pivovar		Czech Republic	/m/04dqxh3
Arundel Sussex Gold	/m/04dqt55			4.2					Arundel		United Kingdom	/m/04dqxsm
Natural Light	/m/04690x5								Anheuser-Busch			
Gambrinus (Mulhouse) L'Alsacienne sans culotte Blanche d'été/Bière blanche	/m/04dqbhv			4.5					Gambrinus (Mulhouse)		France	/m/04dr5b2
Sudbrack Blumenau Eisenbahn Dunkel	/m/04dqhr0			4.8					Sudbrack Blumenau		Brazil	/m/04dqy17
King & Barnes 1998 Christmas Ale	/m/04dqj8j			8.0					King & Barnes		United Kingdom	/m/04dr1nm
James Squire Amber Ale	/m/03m2n2x	Amber ale		5.0					James Squire		Australia	/m/05v0lgm
Dupont Avec les bons voeux de la Brasserie	/m/04dqg_3			9.5					Dupont		Belgium	/m/04dqyjh
Yuengling Original Black & Tan	/m/040_q8r			4.7					D. G. Yuengling & Son		United States of America	
Brøckhouse India Pale Ale	/m/04dqv6f			5.5					Brøckhouse Brewery		Denmark	/m/04dqzjc
Hoegaarden Rosée	/m/04dqqml			4.5					Hoegaarden Brewery		Belgium	/m/04dr46n
Big Rock Jackrabbit Low Carb Lager	/m/04dqg4n			3.8					Big Rock Brewery		Canada	/m/04dr4c8
Kronenbrauerei Karl Karlskrone Premium Pilsner	/m/04dqt6q			5.0					Kronenbrauerei Karl		Germany	/m/04dq_5_
Achouffe Chouffe Bok 6666	/m/04dqkp0			6.5					Brasserie d'Achouffe		Belgium	/m/04dr2qh
Cerná Hora Granát	/m/04dqfbd			4.8					Cerná Hora		Czech Republic	/m/04dr3yn
Cerverceria Patagonia Primitiva S.A. Patagonia	/m/04dqd9l			4.5					Cerverceria Patagonia Primitiva S.A.		Argentina	/m/04dqy0c
Haut Limousin La Gueule Noire du Limousin	/m/04dqpwz			7.0					Haut Limousin		France	/m/04dr26r
Brakspear Millennium	/m/04dqsdg			6.3					Brakspear		United Kingdom	/m/04dqz0r
Meantime Organic Pilsner	/m/04dqd3p			5.4					Meantime Brewing		United Kingdom	/m/04dq_8h
Neustadt Springs Brewery 10w30	/m/04dqtzb			5.5					Neustadt Springs Brewery		Canada	/m/04dr5sz
Marston's New Fangled	/m/04dqv0j			5.0					Marston's		United Kingdom	/m/04dq_b3
King and Barnes Sussex Bitter	/m/04dqj12			3.5					King and Barnes		United Kingdom	/m/04dr1dh
Stichting Noordhollandse Alternatieve Bierbrouwers Czaar Peter	/m/04dqd24			8.5					Stichting Noordhollandse Alternatieve Bierbrouwers		Netherlands	/m/04dq_pr
Hambleton Stud	/m/04dqhvj			4.3					Hambleton Ales		United Kingdom	/m/04dr307
Topvar Patriot	/m/04dqkzf			6.0					Topvar		Slovakia	/m/04dqyqr
Ridgeway Warm Welcome Nut Browned Ale	/m/04dqbkt			6.0					Ridgeway		United Kingdom	/m/04dr3xx
Hefe Weiss	/m/063hnv3	Wheat beer							Marin Brewing Company			
Shipyard Brewing Co Fuggles IPA	/m/04dqhm2			5.8					Shipyard Brewing Co		United States of America	/m/04dr177
Wolf Cavell Ale 9503	/m/04dqgjg			3.7					Wolf		United Kingdom	/m/04dr05_
Cantillon Gueuze Lambic	/m/04dqfqw			5.0					Cantillon Brewery		Belgium	/m/04dr6hz
Tisbury Brewery Stonehenge	/m/04dqdrc			4.2					Tisbury Brewery		United Kingdom	/m/04dq_83
Hogs Back A Over T	/m/04dqcys	Barley wine		9.0					Hogs Back Brewery		United Kingdom	/m/04dr35r
Marston's Burton Bitter	/m/04dqcx7			3.8					Marston's		United Kingdom	/m/04dq_d3
Samuel Adams Cream Stout	/m/04dqc6c			4.7					Samuel Adams		United States of America	/m/04dr2bc
Monteith's Lager	/m/04dqc0g			5.0					Monteith's		New Zealand	/m/04dr5hv
Ayinger Celebrator	/m/04dqbxj			6.7					Ayinger		Germany	/m/04dr2_w
Maasland Zomerbock	/m/04dqbt0			6.5					Maasland		Netherlands	/m/04dr59z
Bridgeport Brewery Porter	/m/04dqbcx	Porter		5.5					BridgePort Brewing Company		United States of America	/m/04dr71g
Cerná Hora Black Hill Pivni Aperitiv	/m/04dq9q0			5.5					Cerná Hora		Czech Republic	/m/04dqyvw
Tooheys Red	/m/046vyt3								Tooheys			
Sydney Bitter	/m/046vyn7								Hahn Brewery			
Coleraine Steiger	/m/04d2v5x											
Carlton & United Breweries Victoria Bitter	/m/04dqlmw			4.9					Carlton & United Beverages		Australia	/m/04dr033
Ellezelloise Quintine	/m/04dqmfg			8.0					Ellezelloise		Belgium	/m/04dr696
Weihenstephaner Hefeweissbier Dunkel	/m/04dqkk2			5.0					Weihenstephaner		Germany	/m/04dqxm3
Saris Smady Mnich (Thirsty Monk)	/m/04dqnf4			5.0					Saris		Slovakia	/m/04dr49n
Hampshire Brewery Strongs Best Bitter	/m/04dqngp			3.8					Hampshire Brewery		United Kingdom	/m/04dr297
Zywiec Beer	/m/04dqnjn			5.7					Żywiec Brewery		Poland	/m/04dqxhr
Ommegang Witte Ale	/m/04dqpjc			5.1					Brewery Ommegang		United States of America	/m/04dr33r
Hampshire Brewery Trappist Monkey	/m/04dqk39			4.3					Hampshire Brewery		United Kingdom	/m/04dr1xh
Hop Back Thunder Storm	/m/04dqqd4			5.0					Hop Back Brewery		United Kingdom	/m/04dq__c
Coors (Bass Museum) Duke's Ale	/m/04dqqhn			6.5					Coors (Bass Museum)		United Kingdom	/m/04dr50t
Hop Back Crop Circle	/m/04dqs3h			4.2					Hop Back Brewery		United Kingdom	/m/04dr5yg
Bridgeport Brewery Amber	/m/04dqs9d	American Amber Ale		5.2					BridgePort Brewing Company		United States of America	/m/04dqyrc
Ayinger Altbairisch Dunkel	/m/04dqsn_			5.0					Ayinger		Germany	/m/04dr0g3
Maarssen Hollandia	/m/04dqsvx			5.0					Maarssen		Netherlands	/m/04dr6ml
